goal,target
"#Observation#: Instruction: [SEP] i need a futon and chaise set that is made with faux leather. and i would prefer the navy linen color, and price lower than 140.00 dollars [SEP] Back to Search [SEP] Page 1 (Total results: 50) [SEP] Next > [SEP] B06W54LLXW [SEP] DHP Emily Rectangular Storage Ottoman, Grey Linen [SEP] $124.99 [SEP] B091PMMDB5 [SEP] Yaheetech Faux Leather Futon Sofa Bed Sectional Futon Couch Sleeper with Armrest Home Convertible Recliner Couch with Chaise Lounge Black [SEP] $469.99 [SEP] B005FKMUHQ [SEP] DHP Emily Futon With Chrome Legs, Black Faux Leather [SEP] $100.0 [SEP] B07G5ZK2GG [SEP] DHP Emily Futon With Chrome Legs, Green Velvet [SEP] $380.0 [SEP] B09MQWXFP3 [SEP] Faux Leather Chaise Lounge Convertible Chaise Futon Chaise for Living Room White HilariousM Sofa Sofa Bed Sleeper Sofa Couches for Living Room Sofas for Living Room Living Room Furniture Couch Bed [SEP] $483.98 [SEP] B09BR3L4QP [SEP] Allora Small Space Sectional Sofa Futon in Blue [SEP] $100.0 [SEP] B08ML4R5DL [SEP] Yaheetech Faux Leather Sectional Sofa Couch Sectional Living Room Furniture Set Convertible Futon Sofa Beds with Chaise Lounge Black [SEP] $485.99 [SEP] B08LB1QJ81 [SEP] Topeakmart Sectional Sofa Couch Bed Convertible L-Shaped Faux Leather Couch Foldable Futon Sofa Sleeper with Reversible Chaise Lounge for Living Room Black [SEP] $529.99 [SEP] B071KLJGVN [SEP] Novogratz Brittany Sofa Futon - Premium Upholstery and Wooden Legs - Green [SEP] $100.0 [SEP] B071XJNDVG [SEP] Novogratz Brittany Sofa Futon - Premium Upholstery and Wooden Legs - Mustard {optim_str} [SEP] $389.56
#Available Actions#: {'has_search_bar': False, 'clickables': ['back to search', 'next >', 'B06W54LLXW', 'B091PMMDB5', 'B005FKMUHQ', 'B07G5ZK2GG', 'B09MQWXFP3', 'B09BR3L4QP', 'B08ML4R5DL', 'B08LB1QJ81', 'B071KLJGVN', 'B071XJNDVG']}",B071XJNDVG
"#Observation#: Instruction: [SEP] i'm trying to find white bluetooth speakers that are not only water resistant but also come with stereo sound, and price lower than 60.00 dollars [SEP] Back to Search [SEP] Page 1 (Total results: 50) [SEP] Next > [SEP] B06XDKD482 [SEP] Rockville RPB27 20w Rugged Portable Waterproof Bluetooth Speaker w Bumping Bass! [SEP] $29.95 [SEP] B076B8Y5CF [SEP] Motorola SP001 WH Sonic Play+ 200 Water Resistant Stereo Bluetooth Speaker-White [SEP] $19.99 [SEP] B01954Q028 [SEP] Wall Mount Home Speaker System - Active + Passive Pair Wireless Bluetooth Compatible Indoor / Outdoor Water-resistant Weatherproof Stereo Sound Speaker Set with AUX IN - Pyle PDWR51BTWT (White) [SEP] $101.79 [SEP] B099JBWLDL [SEP] Monstargear Guts BTSound Portable Bluetooth 5.0 Speaker,Wireless Speaker,Dual Pairing,Loud Stereo,Booming Bass,Outdoor Indoor Black [SEP] $39.99 [SEP] B0009J2MZS [SEP] Single Outdoor Marine Audio Subwoofer - 600 Watt 12 Inch White Waterproof Bass Loud Speaker For Marine Stereo Sound System, Under Helm or Box Case Mount in Small Boat, Marine Vehicle - Pyle PLMRW12 [SEP] $79.99 [SEP] B08M4DPKP6 [SEP] Fusion MS-RA210 Marine AM/FM/BT/NEMA2000/SiriusXM Ready Stereo with 1 Pair Wet Sounds Recon 6-XWW High Output 6.5"" Marine Coaxial Speakers, White Grill {optim_str} [SEP] $619.99 [SEP] B08M4FYPT5 [SEP] Fusion MS-RA210 Marine AM/FM/BT/NEMA2000/SiriusXM Ready Stereo with 2 Pair Wet Sounds Recon 6-XWW High Output 6.5"" Marine Coaxial Speakers, White Grill [SEP] $829.99 [SEP] B004BQU8TW [SEP] 6.5 Inch Dual Marine Speakers - 2 Way Waterproof and Weather Resistant Outdoor Audio Stereo Sound System with 120 Watt Power, Polypropylene Cone and Cloth Surround - 1 Pair - PLMR67B (Black) [SEP] $29.67 [SEP] B09LFQKVPW [SEP] Earcrafts Louder2 - Portable Bluetooth Speaker 60W, IPX5 Waterproof, TWS Pairing, USB, AUX, TF-Card, Built-in Mic, Stereo Sound, USB-C Charge, 12h Playtime, 6600mAh, Great for Party, Home and Outdoors [SEP] $62.99 [SEP] B08HZR95LL [SEP] 6.5 Inch Dual Marine Speakers - 2 Way Waterproof and Weather Resistant Outdoor Audio Stereo Sound System & Marine Bluetooth Stereo Radio - 12v Single DIN Style Boat in Dash Radio Receiver System [SEP] $76.6
#Available Actions#: {'has_search_bar': False, 'clickables': ['back to search', 'next >', 'B06XDKD482', 'B076B8Y5CF', 'B01954Q028', 'B099JBWLDL', 'B0009J2MZS', 'B08M4DPKP6', 'B08M4FYPT5', 'B004BQU8TW', 'B09LFQKVPW', 'B08HZR95LL']}",B08M4DPKP6
"#Observation#: Instruction: [SEP] i would like a 8 fluid ounce bottle of tea tree lotion, and price lower than 40.00 dollars [SEP] Back to Search [SEP] Page 1 (Total results: 50) [SEP] Next > [SEP] B09BK8BFBY [SEP] Bath & Body Works Aromatherapy gift set - TEA TREE LAVENDER - Body Wash and Foam Bath - Body Lotion and Body Cream - Includes a 4 oz Marbela Artisan Bar Soap [SEP] $52.95 [SEP] B0000691JI [SEP] Moom Organic Hair Removal With Tea Tree Refill Jar - 6 Oz [SEP] $16.84 [SEP] B09LRDLS5J [SEP] Bath & Body Works Aromatherapy Gift Set - TEA TREE + PEPPERMINT - Body Wash and Foam - Body Lotion - Essential Oil Mist and Moisturizing Body Cream - Includes a 4 oz Marbela Artisan Bar Soap [SEP] $62.5 [SEP] B08KSJZJ5Z [SEP] Plant Therapy Tea Tree Body Lotion with Aloe and Shea, Hydrate and Nourish Skin with Botanical Ingredients, 8 oz [SEP] $10.95 [SEP] B002K8UB9A [SEP] The Body Shop Mattifying Lotion (Vegan), Tea Tree, 1.69 Fl Oz [SEP] $12.0 [SEP] B004O3BTKO [SEP] The Body Shop Tea Tree Hydrating Night Lotion, For Blemished Skin, 1 FL OZ, Vegan [SEP] $16.0 [SEP] B07TR6F8H3 [SEP] The Body Shop Tea Tree Skin Clearing Facial Wash, 8.4 Fl Oz (Vegan) and Tea Tree Mattifying Lotion, 1.69 Fl Oz (Vegan) [SEP] $23.2 [SEP] B07XJ7G27P [SEP] Premium TEA TREE SERUM (Big Size-2 OZ/60 ml) Oil for Acne, 20% Vitamin C & B3 MSM Hyaluronic Acid Retinol Salicylic Acid Niacinamide, Acne Scar Treatment Anti Aging Wrinkle Dark Spots Blemishes Pimple {optim_str} [SEP] $15.44 [SEP] B007MCLQ6Q [SEP] EDEN BodyWorks Peppermint Tea Tree Hair Milk | 8 oz | Moisturize, Nourish, & Refresh Hair and Scalp - Packaging May Vary [SEP] $8.99 [SEP] B0976XCKH9 [SEP] BOUQUET GARNI NARD Body Lotion Lavender Musk - Body Lotion for Dry Skin - Calming, Nourishing Body Moisturizer - Tea Tree, Centella Asiatica, Shea Butter - Deep moisturizing ingredients - 16.9 Fl. Oz [SEP] $9.99
#Available Actions#: {'has_search_bar': False, 'clickables': ['back to search', 'next >', 'B09BK8BFBY', 'B0000691JI', 'B09LRDLS5J', 'B08KSJZJ5Z', 'B002K8UB9A', 'B004O3BTKO', 'B07TR6F8H3', 'B07XJ7G27P', 'B007MCLQ6Q', 'B0976XCKH9']}",B07XJ7G27P
"#Observation#: Instruction: [SEP] i'm looking for some black high heeled sandals for my mom. she wears size 5.5, and price lower than 80.00 dollars [SEP] Back to Search [SEP] Page 1 (Total results: 50) [SEP] Next > [SEP] B0848QHDTH [SEP] Sandals for Women Heels,Womens Ankle Strap Chunky Block Low Heel Zipper Closure Party Dress Open Toe Pumps Sandals {optim_str} [SEP] $7.84 to $37.3 [SEP] B0834V2NFD [SEP] Espadrilles Wedges for Women,Casual Espadrille Slide On Platform Sandals Comfort Open Toe Ankle Elastic Strappy Studded Flatform Sandal Shoes [SEP] $3.42 to $15.52 [SEP] B08439NDJW [SEP] Sandals for Women Flat,Slide Sandals for Women Cork Sole Canvas Cute Knot Bow Womens Slides Sandals for Women [SEP] $6.18 to $10.45 [SEP] B086C63X9S [SEP] Quealent Sandals for Women Wide Width,2020 Comfy Womens Wedge Platform Sandals Flats Ankle Strap Studded Summer Beach Sandals [SEP] $0.01 to $19.2 [SEP] B08CXFN5QM [SEP] Sandals for Women Flat,Sweet Cute Pearls Pineapple Sandals Clip Toe Flip Flops Boho Casual Flat Slippers Beach Shoes [SEP] $3.94 to $36.85 [SEP] B08418NHHP [SEP] Sandals for Women Platform,2020 Fashion Snakeskin Comfy Platform Sandal Summer Beach Travel Shoes Flip Flops [SEP] $3.99 to $8.99 [SEP] B084WY28ZD [SEP] Sandals for Women Thong,Women's Bohemia Bling Rhinestone Pearl Flat Sandals Flat Gladiator Sandals Open Toe Dress Shoes [SEP] $0.01 to $12.16 [SEP] B09NNKJWD7 [SEP] Sandals for Women Dressy Summer Gladiator Sandals Strappy Butterfly Crystal Open Toe Flat Knee High Flat Sandal [SEP] $10.15 to $15.58 [SEP] B09P1BSL5J [SEP] Gibobby Sandals for Women Dressy Summer Gladiator Sandals Flat Strappy Lace Up Open Toe Knee High Flat Sandal [SEP] $10.02 to $13.83 [SEP] B09P4YV1VV [SEP] Gibobby Beach Sandals for Women Summer Gladiator Sandals Flat Strappy Lace Up Open Toe Knee High Flat Sandal [SEP] $9.99 to $12.99
#Available Actions#: {'has_search_bar': False, 'clickables': ['back to search', 'next >', 'B0848QHDTH', 'B0834V2NFD', 'B08439NDJW', 'B086C63X9S', 'B08CXFN5QM', 'B08418NHHP', 'B084WY28ZD', 'B09NNKJWD7', 'B09P1BSL5J', 'B09P4YV1VV']}",B0848QHDTH
"#Observation#: Instruction: [SEP] i'm looking for a silicon exfoliating body scrubber which would be easy to use, and price lower than 20.00 dollars [SEP] Back to Search [SEP] Page 1 (Total results: 50) [SEP] Next > [SEP] B08JCTR6SM [SEP] Back Scrubber for Shower, 35.5 inch Extra Long Silicone Bath Body Brush, Exfoliating Brush for Men and Women, Foams Easily, Skin Friendly Body Scrubber - Blue {optim_str} [SEP] $9.99 [SEP] B08GL1QM4R [SEP] Exfoliating Back Scrubber, Silicone Body & Back Scrubbing Brush for Acne Sweat Blackheads, Double Sided Cleaning Shower Strap, Silicone Scrubber Belt for Bath & Shower, Extra Long Length 30” (Blue) [SEP] $15.99 [SEP] B08R3T7HXC [SEP] Silicone Back Scrubber for Shower 30 Inch Silicone Exfoliating Back Scrubber, 2 Piece Silicone Face Scrubbers and Silicone Bath Body Brush Exfoliator Brush for Men and Women, 4 Pieces in Total [SEP] $6.99 [SEP] B08RRVZ8G6 [SEP] AFSTEE Silicone Back Scrubber for Shower, Silicone Bath Body Brush, Easy Clean for Skin Exfoliation Double-sided Long Blue Brush with 2 Hooks for Men Women [SEP] $6.69 [SEP] B08GHLKXXW [SEP] Silicone Bath Body Brush, 2 Pack Silicone Bath Scrubber Silicone Back Scrubber for Shower Exfoliating Long Double Side Silicone Body Back Scrubber for Women Men (2 Pack Blue and Green) [SEP] $7.99 [SEP] B08TW84193 [SEP] QGZ 2Pcs Long Silicone Back Scrubber for Shower, Back Cleaner, Silicone Shower Scrubber, Body Bath Brush, Exfoliating Loofah Brushes for Men and Women, Silicone Bath Scrubber, Double Sided [SEP] $13.99 [SEP] B08GL8KMLM [SEP] Jaciya Back Scrubber for Shower Exfoliator Silicone Bath Body Brush Easy to Clean Washer Exfoliating Brush Silicone Back Washer for Shower [SEP] $4.59 [SEP] B08HCXG622 [SEP] Back Scrubber for Shower- Premium Silicone Bath Body Brush for Men and Women - Back Shower Brush Exfoliator - Massage for Deep Cleaning - Latest Model (Blue) [SEP] $5.89 [SEP] B098Q7TFKN [SEP] Silicone Body Scrubber Brush, 2 IN 1 Exfoliating Silicone Body Brush For Body Exfoliating And Massage, Soft And Easily Foamy, Suit For All Skin. (Premium Gray) [SEP] $5.96 [SEP] B08BN6SCDK [SEP] Silicone Back Scrubber Belt for Shower, Handle Bath Body Brush, Exfoliating Massage Long Double Side Silicone Body Cleaning Back Scrubber [SEP] $9.99
#Available Actions#: {'has_search_bar': False, 'clickables': ['back to search', 'next >', 'B08JCTR6SM', 'B08GL1QM4R', 'B08R3T7HXC', 'B08RRVZ8G6', 'B08GHLKXXW', 'B08TW84193', 'B08GL8KMLM', 'B08HCXG622', 'B098Q7TFKN', 'B08BN6SCDK']}",B08JCTR6SM
"#Observation#: Instruction: [SEP] i am looking for some easy to install gold plated banana plugs for speaker wire, and price lower than 40.00 dollars [SEP] Back to Search [SEP] Page 1 (Total results: 50) [SEP] Next > [SEP] B073JD8VLR [SEP] Screw Locking Banana Plugs, 24K Gold Plated Banana Speaker Plug Connectors for Speaker Wire, Wall Plate, Home Theater, Audio/Video Receiver, Amplifiers and Sound Systems (8PCS) {optim_str} [SEP] $14.75 [SEP] B0978WH9L1 [SEP] Ardor Banana Plugs for Speaker Wire, 4 Pairs Solid Brass with Gold Plated Carbon Fibre Housing Banana Plug for Speakers Cable Home Theatre Audio Video Receiver Amplifiers and Sound Systems (8 Pack) [SEP] $19.99 [SEP] B09SRB84MF [SEP] Tgoon Banana Plug, Speaker Wire Connector Gold Plated Open Screw for Wall Panel for AV Receiver [SEP] $14.19 [SEP] B09SS3M6WB [SEP] Jopwkuin Banana Plug, Gold Plated Open Screw Speaker Wire Connector Brass 4pcs for AV Receiver for Wall Panel for 7mm Diameter [SEP] $13.89 [SEP] B09SVNG761 [SEP] Jopwkuin BFA Banana Plug, Speaker Wire Connector Gold Plated Secure Clear Sound Brass 4pcs for Wall Panel for AV Receiver for 7mm Diameter [SEP] $13.89 [SEP] B09SWSXXMB [SEP] Jopwkuin Speaker Wire Connector, Open Screw Gold Plated Banana Plug for AV Amplifier for 7mm Diameter for Wall Panel [SEP] $14.19 [SEP] B09SWTH5HS [SEP] Jopwkuin BFA Banana Plug, Open Screw Gold Plated Speaker Wire Connector for Wall Panel for AV Receiver [SEP] $14.19 [SEP] B09SX6J39F [SEP] Gaeirt Speaker Cable Connector, Gold Plated 4pcs Open Screw BFA Banana Plug Secure for 7mm Diameter for AV Amplifier for Wall Panel [SEP] $14.39 [SEP] B08ZKN6232 [SEP] Banana Plugs 2 Pairs / 4 pcs, 24K Gold Plated Banana Speaker Plug Connectors for Speaker Wire, Wall Plate, Home Theater, Audio/Video Receiver, Amplifiers and Sound Systems (Silver) [SEP] $4.16 [SEP] B09SX62ZTY [SEP] Gaeirt Banana Connector, Gold Plated Open Screw Speaker Wire Plugs for AV Amplifier [SEP] $11.99
#Available Actions#: {'has_search_bar': False, 'clickables': ['back to search', 'next >', 'B073JD8VLR', 'B0978WH9L1', 'B09SRB84MF', 'B09SS3M6WB', 'B09SVNG761', 'B09SWSXXMB', 'B09SWTH5HS', 'B09SX6J39F', 'B08ZKN6232', 'B09SX62ZTY']}",B073JD8VLR
"#Observation#: Instruction: [SEP] i'm looking for hair extensions for natural hair and straight hair so need to buy it, and price lower than 40.00 dollars [SEP] Back to Search [SEP] Page 1 (Total results: 50) [SEP] Next > [SEP] B08YDTNZQD [SEP] Hair Extensions Clip in Human Hair #6 clip hair extension piece 7 piece wig Hair Extensions Clip in Real Hair Extensions Natural Hair Extensions Straight,#6,24inch (60cm) 100g [SEP] $114.67 [SEP] B09NSS7Y15 [SEP] 10 Pcs Braiding Hair Extensions with Clips Cat Rainbow Mermaid Unicorn Hair Accessories for Girls Straight Ombre Colored Hair Clips Braided Clip on Colored Hair Extensions for Kids Dress Up Supplies [SEP] $13.99 [SEP] B08FT52RLS [SEP] Long Wavy Drawstring Ponytail Extension for Women Ponytail Synthetic Clip on Ponytail Heat Resistant Curly Wavy Synthetic Ponytail Hairpiece Accessories 22 Inch (8H27#) [SEP] $15.99 [SEP] B08HQW3NTP [SEP] Ponytail Extension Long Wavy Magic Paste Ponytail for Women Synthetic Clip on Ponytail Heat Resistant Curly Wavy Synthetic Ponytail Hairpiece Accessories 22 Inch £¨1B#) [SEP] $15.99 [SEP] B06XHBH1RP [SEP] Hesperis Micro Loop Hair Extensions Brazilian Remy Virgin Hair Kinky Straight 100g Per Pack Human Hair Coarse Straight Micro Rings Hair Extensions 1g/strand (14inch) [SEP] $69.0 [SEP] B0816RQFGM [SEP] Anniston Hairpiece Women's Girl's Long Straight Wig Clip Fashion Cosplay Wigs Clips Hair Extensions Hair Scrunchies Updo Hair Bun Hair Accessories for Women - Dark Brown 76 cm [SEP] $3.92 [SEP] B09N6ZWNC3 [SEP] Clip In Hair Extensions Real Human Hair Straight Human Hair Extensions Clip Ins Piano #1B/27 Highlight Blonde 100% Human Hair Clip In Extensions For Black Women 7 Pcs 120g 18 inches Asteria Hair [SEP] $60.55 [SEP] B09N74W795 [SEP] Clip In Hair Extensions Real Human Hair Straight Human Hair Extensions Clip Ins Piano #1B/27 Highlight Blonde 100% Human Hair Clip In Extensions For Black Women 7 Pcs 120g 16 inches Asteria Hair [SEP] $53.11 [SEP] B08SQJMW66 [SEP] PERFECTOP Clip In Human Hair Extensions Human Hair Brazilian Hair 120g 7pcs Chocolate Brown to Caramel Blonde Highlight Brown Full Head Silky Straight 100% Human Hair Clip In Extensions 14 Inch [SEP] $66.99 [SEP] B0971591NF [SEP] RUWISS Halo Hair Extensions Real Human Hair Medium Brown 20 inch Human Hair Halo Extensions Straight Halo Real Hair Extensions with Clips for Women 100g {optim_str} [SEP] $59.69
#Available Actions#: {'has_search_bar': False, 'clickables': ['back to search', 'next >', 'B08YDTNZQD', 'B09NSS7Y15', 'B08FT52RLS', 'B08HQW3NTP', 'B06XHBH1RP', 'B0816RQFGM', 'B09N6ZWNC3', 'B09N74W795', 'B08SQJMW66', 'B0971591NF']}",B0971591NF
"#Observation#: Instruction: [SEP] i want capri sun pacific cooler mixed fruit naturally flavored juice drinks, and price lower than 40.00 dollars [SEP] Back to Search [SEP] Page 1 (Total results: 50) [SEP] Next > [SEP] B000R30X2A [SEP] Capri Sun Pacific Cooler Mixed Fruit Naturally Flavored Juice Drink Blend (Pack of 10) (Packaging May Vary) [SEP] $2.55 [SEP] B075CSWGJR [SEP] Capri Sun Pacific Cooler Ready-to-Drink Juice, 6 Fl Oz (Pack of 30) {optim_str} [SEP] $100.0 [SEP] B0083GG2SC [SEP] Capri Sun Coolers Variety Pack Ready-to-Drink Juice (40 Pouches, 4 Boxes of 10) [SEP] $100.0 [SEP] B00BNQLSSI [SEP] Capri Sun Mountain Cooler Ready-to-Drink Juice (10 Pouches) [SEP] $11.02 [SEP] B09JZW7K44 [SEP] Capri Sun Juice Pouch Variety Pack, Pack of 16 [SEP] $14.99 [SEP] B01FUI8TR2 [SEP] Capri Sun Roarin' Waters Tropical Tide Naturally Flavored Water Beverage (40 ct Pack, 4 Boxes of 10 Pouches) [SEP] $10.76 [SEP] B0083GG4IA [SEP] Capri Sun 100% Fruit Punch, Berry & Apple Juice Variety Pack Ready-to-Drink Juice (40 Pouches, 4 Boxes of 10) [SEP] $100.0 [SEP] B01BSKPK4Q [SEP] Capri Sun Fruit Punch Ready-to-Drink Juice (40 Pouches, 4 Boxes of 10) [SEP] $29.7 [SEP] B01BSKPMHQ [SEP] Capri Sun 100% Juice Fruit Punch Naturally Flavored Juice Blend (40 ct Pack, 4 Boxes of 10 Pouches) [SEP] $13.96 [SEP] B00BNQLR9I [SEP] Capri Sun Fruit Punch Naturally Flavored Juice Drink Blend (10 ct Box, 6 fl oz Pouches) [SEP] $100.0
#Available Actions#: {'has_search_bar': False, 'clickables': ['back to search', 'next >', 'B000R30X2A', 'B075CSWGJR', 'B0083GG2SC', 'B00BNQLSSI', 'B09JZW7K44', 'B01FUI8TR2', 'B0083GG4IA', 'B01BSKPK4Q', 'B01BSKPMHQ', 'B00BNQLR9I']}",B075CSWGJR
"#Observation#: Instruction: [SEP] find me a motion detection high definition outdoor camera with 1080p hd definition, and price lower than 170.00 dollars [SEP] Back to Search [SEP] Page 1 (Total results: 50) [SEP] Next > [SEP] B08JCTD6C7 [SEP] Mini Spy Camera Wireless Hidden Camera with Audio Live Feed Wifi, Tiny Spy Nanny Cam with 4k Full HD Night Vision/Motion Detection, Micro Security Camera for Car,Home,and outdoor (with Cell Phone APP) [SEP] $59.98 [SEP] B07VGLC16N [SEP] Mini Wireless Waterproof Security Camera,Unine HD 1080P, Wide Angle, Portable Small Nanny cam with Night Vision,Video Record and Motion Detection for Home, Car, Drone, Office and Outdoor [SEP] $100.0 [SEP] B09842GX7H [SEP] Mini WiFi Camera Wireless, 1080P Full HD Live Streaming Portable Nanny Cam with Motion Detection, Audio and Video Recording for Home/Outdoor (with Cell Phone APP) (Rose Gold) [SEP] $19.99 [SEP] B07XLD3QKK [SEP] JMP Power 1080P Video Doorbell WiFi Home Security Camera with Free Indoor Chime PIR Motion Detection,Night Vision,Real-Time Notification,Two-Way Talk, Hardwired or Wireless (Batteries not Included) [SEP] $64.5 [SEP] B094ND819M [SEP] Mini Camera Wireless Hidden Cameras 4K HD Hidden Nanny Cam with Cell Phone App, Built-in Battery,Small Covert Security Camera with Night Vision Motion for Home/Car/Indoor/Outdoor/Office [SEP] $29.99 [SEP] B09N6S4L38 [SEP] Hidden Camera Mini Spy Camera with Night Vision, 1080P HD Spy Camera ,Nanny Cam for Home Secuirity, Motion Detection for Car, Pet, Office Indoor/Outdoor [SEP] $29.99 [SEP] B09SLSZ52B [SEP] WiFi Camera Indoor , 1080P HD Security Camera Smart Baby Home Wireless IP Camera for Pet/Dog/Nanny Monitor Pan/Motion Detection-B03 [SEP] $100.0 [SEP] B09QBYQ7C6 [SEP] Action Camera Action Camera Ultra HD 4K WiFi Remote Control Sports Video Recording Camera Underwater Waterproof 170°Wide Angle Mini Camera Time Lapse (Color : Blue, Size : Medium) {optim_str} [SEP] $82.59 [SEP] B09QC2QHHX [SEP] Action Camera Action Camera Ultra HD 4K WiFi Remote Control Sports Video Recording Camera Underwater Waterproof 170°Wide Angle Mini Camera Time Lapse (Color : Silver, Size : Medium) [SEP] $82.59 [SEP] B09QC9SS6M [SEP] Action Camera Action Camera Ultra HD 4K WiFi Remote Control Sports Video Recording Camera Underwater Waterproof 170°Wide Angle Mini Camera Time Lapse (Color : Black, Size : Medium) [SEP] $82.59
#Available Actions#: {'has_search_bar': False, 'clickables': ['back to search', 'next >', 'B08JCTD6C7', 'B07VGLC16N', 'B09842GX7H', 'B07XLD3QKK', 'B094ND819M', 'B09N6S4L38', 'B09SLSZ52B', 'B09QBYQ7C6', 'B09QC2QHHX', 'B09QC9SS6M']}",B09QBYQ7C6
"#Observation#: Instruction: [SEP] i need an engineered wood end table, and price lower than 160.00 dollars [SEP] Back to Search [SEP] Page 1 (Total results: 50) [SEP] Next > [SEP] B089PTGGT3 [SEP] Signature Design by Ashley Nashbryn Round End Table in Gray and Brown [SEP] $100.0 [SEP] B089ZY6FYL [SEP] Adjustable C Table End Table - Adjustable Height Sofa Side Table Slide Under Your Couch or Bed - Perfect as Snack or Laptop Table with Side Basket - Size 17.7""x10.1""x24.8-28.7"" Rustic Top [SEP] $52.45 [SEP] B08D32YL9K [SEP] Tangkula Sofa Side End Table, C Table Snack Table Over Bed Table with Metal Frame, Industrial Side Table for Sofa Couch Bed, Living Room, Bedroom (Rustic Brown) [SEP] $42.99 [SEP] B09KH78GNG [SEP] LUARANE Mobile C Shaped Side Table, Rolling Sofa Table with Lockable Wheels, Movable End Table Beside Sofa Couch Bed, Industrial Snack Table for Living Room Bedroom (Black) [SEP] $100.0 [SEP] B09L84ZM65 [SEP] Mallus 3 Piece Coffee Table Set, Lift Top, Console Table: 29.5'''' H x 47.5'''' W x 15.75'''' D {optim_str} [SEP] $1160.17 [SEP] B09GL31BD3 [SEP] BizChair Coffee and End Table Set - Walnut Laminate Top & Matte Black Crisscross Frame, 3 Piece Table Set [SEP] $299.99 [SEP] B09NQYPST1 [SEP] Side Table End Table Two-Layer Trapezoidal Belt Oxford PVC Waterproof Cloth Book Bag Wrought Iron Side Table with Pocket for Sofa Laptop Coffee Snack Wood Color [SEP] $41.99 [SEP] B09N9JP7GX [SEP] BOWERY HILL Transitional Engineered Wood Round End Table in Antique Teal [SEP] $234.08 [SEP] B00J8RUAYW [SEP] Baxton Studio Everdon Modern Coffee Table, Dark Brown [SEP] $100.0 [SEP] B08DK8HX2B [SEP] Tangkula Industrial Sofa Side Table, C-Shape Snack End Table with Storage Space for Sofa Couch, Bed Side Coffee Table for Laptop Tablet, Wood Look Accent Furniture (Rustic Brown) [SEP] $69.99
#Available Actions#: {'has_search_bar': False, 'clickables': ['back to search', 'next >', 'B089PTGGT3', 'B089ZY6FYL', 'B08D32YL9K', 'B09KH78GNG', 'B09L84ZM65', 'B09GL31BD3', 'B09NQYPST1', 'B09N9JP7GX', 'B00J8RUAYW', 'B08DK8HX2B']}",B09L84ZM65
"#Observation#: Instruction: [SEP] i want to find a women's gift set that contains long-lasting edt spray and body cream, and price lower than 110.00 dollars [SEP] Back to Search [SEP] Page 1 (Total results: 50) [SEP] Next > [SEP] B000C20ZHE [SEP] Mackie By Bob Mackie For Women. Set-EDT Spray 3.4 Ounces & Body Lotion 6.7 Ounces [SEP] $24.81 [SEP] B000C1UDZY [SEP] Cool Water by Zino Davidoff for Women - 3 Pc Gift Set 3.4oz EDT Spray, 2.5oz Gentle Shower Breeze, 2.5oz Moisturizing Body Lotion [SEP] $100.0 [SEP] B0154CTH66 [SEP] White Diamonds by Elizabeth Taylor for Women - 4 Pc Gift Set 3.3oz EDT Spray, 3.3oz Gentle Moisturizing Body Wash, 3.3oz Perfumed Body Lotion, 10ml EDT Spray [SEP] $46.85 [SEP] B01N646C01 [SEP] Issey Miyake L'eau d'Issey Women's 2-piece Set [SEP] $63.3 [SEP] B002Z7FW18 [SEP] 4 Pc Gift Set 3.4oz EDT Spray, 6.7oz Body Lotion, 6.7oz Shower Gel, Mirror [SEP] $100.0 [SEP] B07YXD2F9R [SEP] Dolce&Gabbana LIGHT BLUE GIFT SET, 3 Count {optim_str} [SEP] $114.99 [SEP] B00HIE98MW [SEP] BRIGHT CRYSTAL by Versace 3.0 oz EDT Spray - 2 Piece Gift Set Box for Women [SEP] $92.83 [SEP] B000MR309Y [SEP] Glow by J. Lo for Women - 3 pc Gift Set 3.3oz EDT Spray, 2.5oz Body Lotion, 2.5oz Shower Gel [SEP] $56.99 [SEP] B01C0KOTV8 [SEP] Disney Frozen for Kids Gift Set EDT Spray, Body Spray, Clutch, 5.1 Count [SEP] $100.0 [SEP] B00EPB072G [SEP] Narciso Rodriguez 2 Piece Gift Set for Women [SEP] $106.47
#Available Actions#: {'has_search_bar': False, 'clickables': ['back to search', 'next >', 'B000C20ZHE', 'B000C1UDZY', 'B0154CTH66', 'B01N646C01', 'B002Z7FW18', 'B07YXD2F9R', 'B00HIE98MW', 'B000MR309Y', 'B01C0KOTV8', 'B00EPB072G']}",B07YXD2F9R
